Minisector,VER,OCO,Fastest
0,268.81765170072384,267.2840756929972,VER
1,294.8557202996115,292.2921826816528,VER
2,311.6233009188991,305.9818872313725,VER
3,318.66112169025644,315.04458540055026,VER
4,324.0143612676923,320.9770450330734,VER
5,323.72265645,323.5512500148148,VER
6,204.42042483286207,216.9691166522567,OCO
7,103.13087323667428,102.5013552799817,VER
8,182.1011543642328,187.20111524733045,OCO
9,257.9886363649732,256.8359749320574,VER
10,286.88028461414143,286.18938269238095,VER
11,160.3969177676055,159.2923246329064,VER
12,96.08736592198058,95.58724841611212,VER
13,113.99616628118254,109.97850093487288,VER
14,219.45099060548563,212.96115551619047,VER
15,184.25539787973855,176.39287473982827,VER
16,218.7516377880129,221.89243384444444,OCO
17,174.86301705003956,168.8973731339684,VER
18,228.67888099690234,232.78055712245884,OCO
19,274.4207338948776,273.1361214531602,VER
20,239.3307679847619,246.77102337928554,OCO
21,145.17240175317025,143.82871003905228,VER
22,98.13204428611672,94.71179636341397,VER
23,122.68240458822955,121.38935112411134,VER
24,223.06943569661826,213.4098356900948,VER
25,252.65,250.53000192000002,VER
