Minisector,SAI,VET,Fastest
0,274.76273706666666,272.66372960575154,SAI
1,299.39570469580315,297.5304823017544,SAI
2,312.15964603876796,310.93041811466054,SAI
3,319.0323526901961,319.75841917355507,VET
4,323.8026040666667,324.37968746666667,VET
5,324.80809927139717,326.41822913333334,VET
6,210.83500479999998,215.0529625229753,VET
7,108.77952082376194,106.50830992882456,SAI
8,186.3998133282555,182.92467715274347,SAI
9,262.7724029268582,263.3488685539983,VET
10,291.79014473650795,292.42879408856777,VET
11,174.79508594644935,174.83240194085445,VET
12,98.83683996944379,96.5724925856094,SAI
13,117.01847703188405,116.16579622605316,SAI
14,225.21594207536234,224.81534727381995,SAI
15,186.4247327316913,189.24335634870073,VET
16,232.50252375389238,225.4341601572012,SAI
17,180.8077385853968,181.8325569287435,VET
18,237.79206191020407,241.17069739220779,VET
19,278.36014951779447,281.7345527829018,VET
20,254.32191976450216,254.31414200001194,SAI
21,146.25923800512342,147.557538971702,VET
22,97.01830904646077,96.70103082934737,SAI
23,128.73838995051347,124.47478605373297,SAI
24,228.97649928612836,229.05491078095238,VET
25,258.2499968,,SAI
