Minisector,GAS,HUL,Fastest
0,276.9552913612443,277.2879976612199,HUL
1,294.84404154905206,295.79495222383616,HUL
2,292.6953653576609,287.46277803495536,GAS
3,184.90655426355286,173.58018159245685,GAS
4,130.0918009078397,132.22859807612173,HUL
5,242.3211141451966,247.91430857494322,HUL
6,283.9686136152986,292.8153400466438,HUL
7,289.6458339393939,292.0070358683039,HUL
8,178.05682999060787,167.798043330569,GAS
9,145.27111280438749,145.80867243679626,HUL
10,255.7707521961409,255.7642619986543,GAS
11,286.81778430554107,289.3744029592057,HUL
12,296.86128007213773,291.3161320402134,GAS
13,284.8809027111111,279.59087985955335,GAS
14,300.554035781995,301.4414625995043,HUL
15,299.3732405829982,298.2342285673219,GAS
16,251.5766587401419,232.95364753259227,GAS
17,230.78893331155328,222.93694382059132,GAS
18,282.4349233266519,290.07923551029273,HUL
19,303.43010316294874,321.37635932136135,HUL
20,306.1068588348126,325.97392160172376,HUL
21,231.28913719681134,222.4759039336397,GAS
22,261.6985792227791,253.40212019133313,GAS
23,137.70365276124744,138.2068336464268,HUL
24,218.227157926881,228.45045198771442,HUL
