Minisector,OCO,STR,Fastest
0,304.2915366777778,315.5572717488212,STR
1,212.10291477911503,203.1123252225834,OCO
2,135.7200011888285,138.2492422548382,STR
3,216.58252248443682,213.58059368123995,OCO
4,152.95656217658046,156.34500313048574,STR
5,167.98179017111718,179.14286433641024,STR
6,248.22182603174602,250.85224899963833,STR
7,276.8336887156922,277.4753784491775,STR
8,283.32366067142857,284.6482552892692,STR
9,265.5215087172789,250.92219801480644,OCO
10,244.79786151028947,242.57828240205365,OCO
11,239.77993556934047,232.30881418023722,OCO
12,213.72454704987769,193.59925087857778,OCO
13,133.62118136618713,129.14544246320543,OCO
14,139.3792153838151,132.8748244575165,OCO
15,179.49049466592712,177.7482619634568,OCO
16,250.05348317783842,258.06273709326223,STR
17,233.1085865194956,216.61880539507808,OCO
18,112.69979295933885,113.05809908572324,STR
19,195.75575665271097,204.6185168866403,STR
20,193.0149549732687,191.73755123429962,OCO
21,233.3020286434039,233.14530193309943,OCO
22,264.7266351879235,269.8577486848677,STR
23,283.58541618,293.5792205415758,STR
24,296.0706094242129,311.0448863709091,STR
