Minisector,VET,RIC,Fastest
0,292.93378831974945,302.6686364992577,RIC
1,304.59337220253497,320.1134938146058,RIC
2,309.2558808119369,329.7572157997733,RIC
3,310.14511632133144,322.0835189572623,RIC
4,178.0541142411243,175.45504671930433,VET
5,218.1312685417318,220.0443367585188,RIC
6,246.56085821362407,250.58002109133344,RIC
7,269.8542952623663,267.0046328124728,VET
8,272.0771911232971,268.2693754133333,VET
9,170.07796300949866,174.6084632997834,RIC
10,238.15048412702657,231.5143546158168,VET
11,145.73296017986513,145.10577111385237,VET
12,230.27522870626353,221.38787618179856,VET
13,202.5786394644105,208.1258612732827,RIC
14,220.20146398856232,212.99113378542094,VET
15,250.3266558564912,252.67479157333332,RIC
16,264.46860464127303,262.68699929541015,VET
17,287.01739934932783,282.2705697857399,VET
18,142.68474073133507,145.45606641491364,RIC
19,163.71539737504096,162.54342399337412,VET
20,150.46042615459572,152.3219699776327,RIC
21,168.12578593879482,175.0151177583462,RIC
22,121.70884128487985,123.20888724772452,RIC
23,230.20380180345367,225.23028662974846,VET
24,275.99519525274803,268.0439363456208,VET
25,289.6401686816418,,VET
