Minisector,NOR,GIO,Fastest
0,214.94335644203238,215.17729870153562,GIO
1,204.10925237578283,183.4769625835114,NOR
2,269.95523712761906,240.45236826865377,NOR
3,306.0117205699681,291.3706700852841,NOR
4,317.78613405938376,316.94779325490197,NOR
5,167.59099599139785,233.90672807541188,GIO
6,201.56146037409565,151.73722026867728,NOR
7,274.1734638035088,252.1367933545256,NOR
8,304.61831586094144,293.8685711918655,NOR
9,317.3867426764149,317.67713496022407,GIO
10,247.83826007272728,316.12036377991427,GIO
11,101.70731950765398,108.02228006364362,GIO
12,225.22448378181818,179.1941200272109,NOR
13,282.1731639038082,268.6384182738637,NOR
14,306.58105701288514,303.5677113546763,NOR
15,218.32517153226038,299.25789557894734,GIO
16,131.2755800189246,127.92238163358331,NOR
17,238.18224071111112,208.11930858666668,NOR
18,236.27973532121212,259.32483339533485,GIO
19,180.7938289320635,172.51779159491815,NOR
20,220.80067828489322,219.74170967522932,NOR
21,219.95490981587304,187.5621896034103,NOR
22,262.682488884663,235.0887801384361,NOR
23,287.44171526083437,274.6270510032799,NOR
24,294.20046394074075,295.64537001481483,GIO
