Minisector,HAM,COL,Fastest
0,247.2014824911207,256.73572172280257,COL
1,135.8814243185423,138.84674300541533,COL
2,276.80021697374696,276.4291351777366,HAM
3,315.37128679336854,310.8788863458409,HAM
4,297.488320279001,293.7665360535129,HAM
5,320.124902081724,314.3546457054027,HAM
6,321.0482856484571,314.1394449378656,HAM
7,316.7059284658205,308.2816403143803,HAM
8,200.15290204511322,183.643451410899,HAM
9,187.73097491045235,189.9329486829977,COL
10,175.91001217154945,168.79485171750903,HAM
11,169.50651106734574,168.27829141715446,HAM
12,245.56220148201078,243.7963472292968,HAM
13,264.0211559920251,261.59066698463494,HAM
14,266.44419062439545,259.66584809350377,HAM
15,251.69332343673472,242.65506596242733,HAM
16,173.93122395283217,168.94686417540063,HAM
17,188.7944882551974,186.09362175358703,HAM
18,254.90264165050965,249.0713175199656,HAM
19,303.22093512936834,299.2303288498939,HAM
20,316.69313519777853,314.93867784200677,HAM
21,291.7846091279015,294.22014027533146,COL
22,275.23082002381227,279.59250031418446,COL
23,247.03442271845972,226.19386249337364,HAM
24,117.62576080052722,122.50100991812533,COL
