Minisector,SAI,HAR,Fastest
0,317.7257647455782,281.9559041333333,SAI
1,155.76967094573644,155.86683769076245,HAR
2,160.10344959332494,154.91366917223166,SAI
3,202.8489660837561,219.44726786206897,HAR
4,283.2494313606625,281.2111382392725,SAI
5,297.228976630303,291.7507579636363,SAI
6,145.99496702460945,147.5938022278944,HAR
7,137.2708785569224,134.66567355555884,SAI
8,161.82672261351695,144.63446562397706,SAI
9,154.31882848006708,173.15706040825492,HAR
10,137.50740664091353,131.14870796489865,SAI
11,132.01188607820646,121.90562815422652,SAI
12,143.26581430909093,160.11694542517344,HAR
13,259.00272817330455,260.6217137127619,HAR
14,283.7108915701791,283.33220917073044,SAI
15,155.77239629863325,147.9741699690626,SAI
16,206.35337302237727,203.44294448172045,SAI
17,156.12439546447598,158.4584278350219,HAR
18,261.8988301805721,263.50308923607804,HAR
19,290.348032920911,285.9242423272727,SAI
20,301.6278829496897,297.3054350856403,SAI
21,311.5904760888889,303.62257890681246,SAI
22,316.6724999466667,308.10204080181404,SAI
23,321.14791233411086,311.9900703412054,SAI
24,316.70978281739133,308.6255681939394,SAI
