Minisector,HAM,BOT,Fastest
0,276.7874121821167,272.47113383628346,HAM
1,293.6143308901935,289.5086025572501,HAM
2,288.2825223671014,286.65780673867295,HAM
3,190.66045455628816,186.19192058933226,HAM
4,129.18489883835983,126.5080683374485,HAM
5,238.48184603253685,236.3528875102807,HAM
6,284.6258660114214,281.620833408,HAM
7,293.68266666666665,293.8378767573548,BOT
8,183.6911530533063,177.59633729317662,HAM
9,150.62028479093996,144.97866288812227,HAM
10,253.41378073732844,253.20168368866996,HAM
11,289.3744283153148,285.682066329377,HAM
12,303.07968033649655,293.91599991466666,HAM
13,282.41316672,280.0750228981685,HAM
14,299.8137859474285,296.04975392050534,HAM
15,302.4310515873016,297.94422806832074,HAM
16,265.49605896830496,258.7896892385398,HAM
17,232.44261834622353,229.40897042604215,HAM
18,283.8303337386667,282.31100009471965,HAM
19,308.1063323076823,302.05978272463767,HAM
20,310.0295072562913,306.9360289168688,HAM
21,237.7339868677994,237.19233813333335,HAM
22,262.6525512272109,262.1360952294453,HAM
23,140.25271758231466,135.36074072773403,HAM
24,214.85451497095292,221.06369993889757,BOT
