Minisector,ALB,SAI,Fastest
0,298.6384059670588,297.81451284172334,ALB
1,318.00731456256904,315.2177509822825,ALB
2,326.9717612504202,318.6059523047619,ALB
3,328.5940971555556,318.21805546666667,ALB
4,191.91028680360043,185.1814264376081,ALB
5,229.05991680084657,220.86002526346005,ALB
6,266.7808885827176,268.3915048432468,SAI
7,264.5681893925926,262.93359662576444,ALB
8,199.22412070623236,192.79878070412835,ALB
9,139.72980543851853,137.30123010696582,ALB
10,177.89703632006325,188.08930539151262,SAI
11,263.3532706380045,261.39058842352944,ALB
12,246.92431357930982,248.92024196672324,SAI
13,233.6908862153846,225.17623505493336,ALB
14,269.4743471288496,268.93890610713436,ALB
15,171.72233279396826,162.0991826872829,ALB
16,232.47200086262626,219.83075390522887,ALB
17,244.13475093564213,237.63605855832597,ALB
18,135.07901669187083,130.90071598522914,ALB
19,241.80934399492062,242.13162059580952,SAI
20,283.19943628196984,286.02031311238096,SAI
21,246.20683483826087,248.29891921380263,SAI
22,142.91848014307303,137.07784565897813,ALB
23,218.34326516114285,210.41641410111723,ALB
24,272.04088835969134,270.82064874782355,ALB
25,284.0071424,,ALB
