Minisector,VER,OCO,Fastest
0,274.17855173894736,259.0615076266282,VER
1,298.22409481752385,276.405231122963,VER
2,309.52695145016145,283.6512952013427,VER
3,127.64467644138072,129.05535885976903,OCO
4,201.82562837163536,184.28932850285716,VER
5,260.0715422861153,248.94632237176472,VER
6,137.56417266793653,134.95619203779805,VER
7,204.5589937263746,196.8400162761483,VER
8,254.84645155860798,251.89493943314287,VER
9,276.8245794323062,274.5551783263492,VER
10,226.52036228122842,226.77636954390616,OCO
11,175.68109730925013,175.0732023369697,VER
12,189.67074274873718,182.47696464755282,VER
13,136.3502193040523,138.941198509418,OCO
14,163.7004374804489,162.8792140135743,VER
15,154.02624923530544,148.04994470126843,VER
16,212.7350431041773,208.45718133541124,VER
17,227.30874937959334,226.71439872358914,VER
18,233.73978567409884,229.27815716593423,VER
19,238.41252091657142,234.71449489376775,VER
20,140.9535766857383,139.54691838973548,VER
21,133.42293637153247,134.81196795009757,OCO
22,152.772070708763,156.58403307760685,OCO
23,144.1936539055376,140.35715129152217,VER
24,222.68196123784128,217.42340619900227,VER
25,,247.4249984,OCO
