Minisector,LEC,VET,Fastest
0,253.509775230839,248.110305069899,LEC
1,127.33210823280463,118.50627908399474,LEC
2,194.88105945566136,199.54434523508772,VET
3,243.89138290910952,247.76632205071414,VET
4,257.46257308968063,248.00692417641025,LEC
5,171.99572156444444,166.3582233153016,LEC
6,144.468377476,132.7157805742107,LEC
7,182.08058867395152,174.18190562031745,LEC
8,99.38244807466447,98.25372272874233,LEC
9,71.48650776104668,70.48584743784498,LEC
10,93.8092624013288,96.22756126846848,VET
11,182.99391959798868,189.12564846380724,VET
12,244.06029405367966,247.5279481106576,VET
13,266.8342226713388,270.66465763251546,VET
14,278.23669214325884,266.872323725132,LEC
15,102.8691326141827,110.1364867520362,VET
16,146.62265640851757,155.53658041573965,VET
17,175.09310416050795,174.64157079505054,LEC
18,195.7527975942952,191.65198858035876,LEC
19,209.04938896855086,201.27457192296296,LEC
20,133.5232662825808,125.79995414387886,LEC
21,105.82251403185546,110.21131279950562,VET
22,97.1732601384335,92.78288246266709,LEC
23,195.80631389629627,197.22086185083137,VET
24,250.04912409449364,253.17321526349207,VET
25,,267.83565658640106,VET
