Minisector,RUS,SAI,Fastest
0,286.93916974288334,290.40326953693005,SAI
1,289.71378085361505,294.3375730196079,SAI
2,162.48103796727042,158.94853865980363,RUS
3,222.24234030137566,217.9918431799846,RUS
4,271.11012208763856,270.3504772931696,RUS
5,291.40009959394956,292.1171865109815,SAI
6,295.12267846597945,298.8721510269733,SAI
7,163.9980721671499,150.52973577696972,RUS
8,123.88329692130621,129.7822015695536,SAI
9,253.5061810953623,249.93387514039756,RUS
10,283.40369762666666,289.46726422890083,SAI
11,296.9421284088889,299.8086434900494,SAI
12,151.52374812420084,143.9514113780627,RUS
13,188.31201719536492,197.57275338842976,SAI
14,254.6922987980724,256.9380805061138,SAI
15,201.46313216646465,193.11280442525836,RUS
16,209.22620101383387,212.8774459467821,SAI
17,214.68043350588235,202.28025022024292,RUS
18,236.37850231025195,239.7816282755426,SAI
19,273.6238534367291,276.9338532181818,SAI
20,294.55042782497503,294.3246653142857,RUS
21,263.1791552195139,257.0797598254317,RUS
22,218.47436277598544,216.0011234239867,RUS
23,204.99386098924768,207.693575988785,SAI
24,261.77294164462586,264.77702061848737,SAI
