Minisector,SAI,NOR,Fastest
0,297.76874908748664,295.7256677401058,SAI
1,307.54828285537866,302.96899558136323,SAI
2,221.8678906793651,209.40422784945687,SAI
3,136.11928269751587,132.76641060057977,SAI
4,220.35105420650038,218.98689124363636,SAI
5,164.29254503371453,165.42857323177032,NOR
6,168.85936616869353,172.30518978754577,NOR
7,252.34169835677017,249.44787517040803,SAI
8,280.67754897568625,277.833567398254,SAI
9,291.1262254745098,287.08136888380955,SAI
10,254.7315559817101,261.66216065885266,NOR
11,237.60279589239767,240.8790772,NOR
12,239.09816131468912,242.87189533778943,NOR
13,207.72662845575758,208.81533043333332,NOR
14,128.94393759134942,126.95309489196131,SAI
15,140.60400132733045,143.725835733621,NOR
16,167.74842854721558,168.18348192432404,NOR
17,248.1230936085154,251.6056448826667,NOR
18,253.65148412533335,251.80919494603177,SAI
19,116.30860600431633,116.26210154181817,SAI
20,188.91111781867681,187.03764365327888,SAI
21,199.38418361703134,203.10086033472615,NOR
22,231.90129528996334,233.85269706527953,NOR
23,264.24808092070174,271.5144921501086,NOR
24,284.8544864247619,295.29628748971913,NOR
25,293.78000128,,SAI
