Minisector,HAM,LAW,Fastest
0,257.5231736068376,257.07272363512044,HAM
1,136.80631336410258,134.03212509799204,HAM
2,207.2903887409414,208.1961265432381,LAW
3,247.94119068647618,246.47930254448485,HAM
4,255.86461451247166,260.62675124755583,LAW
5,177.63528481370594,177.72154923634398,LAW
6,154.1698674245614,147.95848399063448,HAM
7,187.69368373593863,186.7796686705325,HAM
8,101.6229058313906,103.87422829866178,LAW
9,72.5324227775732,73.5205762512512,LAW
10,101.03269523849238,96.85795264817115,HAM
11,192.9267844426889,182.85717634127616,HAM
12,247.45168314923276,243.44619200120093,HAM
13,269.2372400969697,264.72092342726313,HAM
14,274.3372222222222,274.3254679642729,HAM
15,111.31114015852637,103.45728141443136,HAM
16,158.82737019947027,147.94928383108348,HAM
17,188.9328871351082,184.23064572836896,HAM
18,205.08270233426703,197.86962994927993,HAM
19,215.966997552461,217.5820581647059,LAW
20,139.05768329374305,134.5988649576635,HAM
21,118.23441827717238,118.94034423831049,LAW
22,104.08811744315744,94.1833668034481,HAM
23,205.20601444838857,190.69769497809807,HAM
24,251.89036280287934,245.79666612,HAM
25,,261.8,LAW
