Minisector,RUS,SAI,Fastest
0,272.5694943314286,274.4631002892379,SAI
1,252.32013932009687,248.13347011844155,RUS
2,124.0620412877295,119.4471935371956,RUS
3,162.59609288753106,174.3447470919882,SAI
4,184.0473147119192,190.08453641566138,SAI
5,199.82505707700267,202.66384038238078,SAI
6,263.33294694453053,266.9286110577778,SAI
7,285.3630109647771,287.90757168554967,SAI
8,233.23061154666667,234.1739814859259,SAI
9,150.08017265566139,145.16649691758312,RUS
10,118.88050758560591,124.2000014336123,SAI
11,160.90735530775683,164.4328316402837,SAI
12,247.0707373815204,249.82677826714843,SAI
13,157.2781364615873,159.0331136860819,SAI
14,145.41766910607984,145.99345261485428,SAI
15,106.56236003364133,108.44363229731158,SAI
16,215.39139168889312,224.17552028024843,SAI
17,254.6191523915444,245.25104875283446,RUS
18,128.52858121915804,129.72439213466393,SAI
19,239.01813308440637,243.31717973910534,SAI
20,273.4393386665226,274.16967985961236,SAI
21,200.32750723452506,208.88210935873016,SAI
22,150.76286049084533,160.68810078439645,SAI
23,216.78599623092146,223.01373555093792,SAI
24,230.82513053531338,234.02729473072665,SAI
25,255.875,,RUS
