Minisector,HUL,MAG,Fastest
0,267.629513591805,276.9647105679467,MAG
1,287.1426885826241,299.71927909028165,MAG
2,285.5124792986921,292.4971560804233,MAG
3,172.87003645231292,172.94493301889386,MAG
4,118.30283676773705,110.5428428224742,HUL
5,233.8730117357493,233.70195665533205,HUL
6,276.2010941561777,288.9947544827361,MAG
7,286.1798657995378,305.7807533206349,MAG
8,167.7162465049067,159.2795010123683,HUL
9,136.86246537725756,130.4317379756159,HUL
10,245.66977068840572,247.5063485878103,MAG
11,278.2261776926882,286.9283066960479,MAG
12,290.32855245766217,295.7375847057107,MAG
13,272.14077644892285,264.11068408072344,HUL
14,292.5497983358393,292.7643682787902,MAG
15,296.35490424778504,300.26939566646837,MAG
16,237.87250294839995,227.6127010625421,HUL
17,213.58278197011614,212.02121294914826,HUL
18,270.75521075228244,280.4200301806928,MAG
19,294.4758598598078,310.8410605899202,MAG
20,300.7670058559283,321.3272545180387,MAG
21,221.9867154455028,216.4392411263361,HUL
22,250.733573775298,255.46838727096926,MAG
23,135.19374226879282,129.70155840712528,HUL
24,206.0026010486303,207.75961417780275,MAG
25,250.43749866666667,,HUL
