Minisector,NOR,SAR,Fastest
0,245.2543014878619,252.0341677724757,SAR
1,280.9810359564384,292.40015457414387,SAR
2,167.1880142485154,156.51191700642013,NOR
3,151.207073550628,160.31519073837893,SAR
4,255.85633645624668,252.07306422867026,NOR
5,267.0041612770724,239.64501181252527,NOR
6,225.32250002251337,204.21798824333845,NOR
7,201.56411788068206,189.77159460642363,NOR
8,155.67929457443637,149.1084589312452,NOR
9,207.18905086918588,217.05107364141261,SAR
10,270.44718790877783,276.1304205929004,SAR
11,122.51320190543674,116.16580177576516,NOR
12,206.01671908981882,214.00200157333333,SAR
13,278.63773774025975,277.9221118527988,NOR
14,312.5108609999287,306.5142848927485,NOR
15,329.23249996235296,317.23451023342596,NOR
16,266.5537522226087,216.90185368266367,NOR
17,124.64384985734941,131.37902495527558,SAR
18,129.5204165762816,132.54886168197,SAR
19,121.5487745156825,119.17529392996026,NOR
20,223.80552882800814,217.79047676724684,NOR
21,254.0863593057331,248.29167022864067,NOR
22,236.48905691170697,217.32525382063437,NOR
23,215.95953479799283,195.19972233296818,NOR
24,135.4004072917157,139.3210106455444,SAR
25,210.359372,,NOR
