Minisector,ALO,TSU,Fastest
0,246.2112361734369,249.9235605388006,TSU
1,209.7656442408791,211.18241928066485,TSU
2,209.78064279914886,202.65008363848932,ALO
3,259.1528531652525,258.12903644971044,ALO
4,274.66577920480705,272.48155281535355,ALO
5,291.0426171248485,286.2010222419753,ALO
6,155.19665324085506,161.79456666517532,TSU
7,183.8334137452519,183.15035180161092,ALO
8,271.68799228887906,264.90102113630854,ALO
9,305.14717510442773,289.01532914378066,ALO
10,314.1227886541944,299.9144135545679,ALO
11,298.5983092397661,302.27141357656564,TSU
12,108.21635133646751,112.28224554828762,TSU
13,197.0431691168899,188.15441784177892,ALO
14,278.85216007885714,267.8149969201114,ALO
15,309.16229382633054,290.7884328656758,ALO
16,313.7820249433297,296.4976513391304,ALO
17,182.37884793147504,176.59875244624064,ALO
18,223.28529542312927,219.30777395781308,ALO
19,258.4945896185034,265.3580916479123,TSU
20,147.99778991952022,150.95827452540541,TSU
21,144.21364548244898,142.7461298678543,ALO
22,219.9795187156374,216.6584806837029,ALO
23,223.569964010199,235.04573778086234,TSU
24,148.84058295505574,154.344925262899,TSU
25,225.54000128,221.5863586909091,ALO
