Minisector,PIA,STR,Fastest
0,304.88092105006103,291.69184791885715,PIA
1,322.34406757079364,303.7657258828011,PIA
2,329.3374448536961,309.357833343256,PIA
3,332.43945723928766,307.6094225712281,PIA
4,196.08132439844798,189.1990373795091,PIA
5,216.04113768549686,214.03754225015874,PIA
6,268.09604215111113,267.15360615416523,PIA
7,259.9543765481349,266.41416486312926,STR
8,189.5835166278458,180.36763090117768,PIA
9,147.26510787098414,141.7076500196856,PIA
10,174.4368732520458,185.6561146369566,STR
11,256.54086216274567,260.269579286252,STR
12,249.22007236155844,246.32653035474655,PIA
13,222.65475762680776,228.43415750639454,STR
14,265.82318751466664,268.09087047589986,STR
15,163.353916700778,160.90994310971382,PIA
16,217.19150037145482,221.775175916516,STR
17,237.31089616195786,226.8928516399134,PIA
18,133.8661126223939,134.32990180824092,STR
19,237.7842743073716,244.25579765124817,STR
20,279.35449135771427,281.15190404569574,STR
21,242.25271039152418,219.40932047335576,PIA
22,139.38221246625233,139.12578533532786,PIA
23,208.64076304390406,216.26455554991048,STR
24,273.33614094484943,270.1502224284714,PIA
25,284.48333226666665,,PIA
