Minisector,PIA,VER,Fastest
0,265.28141422603176,257.5419068265726,PIA
1,128.51328080352368,132.86500023656606,VER
2,269.21036033352954,270.22532142774975,VER
3,309.7587873870222,309.7245543476364,PIA
4,309.9842158692634,309.8098912260197,PIA
5,318.1068576740741,317.653450074249,PIA
6,321.7318804875953,322.3763634269008,VER
7,323.79041674666666,318.85659104,PIA
8,207.39833550213098,206.2708572953148,PIA
9,205.21819333433973,204.73914922044554,PIA
10,183.72293504038095,184.65118274296555,VER
11,177.65257183202618,176.35901395212886,PIA
12,260.90049782652017,258.292351927132,PIA
13,285.4954483075057,282.6805464757195,PIA
14,289.52743444996634,287.2453968253968,PIA
15,280.2491628232417,269.3258113317914,PIA
16,174.11882506135643,173.13029679412304,PIA
17,203.09663681519945,197.8578282349059,PIA
18,252.2693155661612,249.88461461944343,PIA
19,294.2863159398429,293.29435955160494,PIA
20,312.79918243959634,312.1712587069013,PIA
21,317.3132608556522,317.45483563885716,VER
22,315.0841150770794,315.73959477068644,VER
23,257.4264329829481,262.7558526827839,VER
24,120.26167015727673,119.42555529271101,PIA
