Minisector,ALO,HAM,Fastest
0,303.0893228666667,300.08032960525435,ALO
1,224.72764480298613,228.93905938285712,HAM
2,129.03312815691334,130.15851961184296,HAM
3,213.5129622762348,219.78104625632653,HAM
4,259.89482021668647,261.8639719230139,HAM
5,283.15485478496726,284.68804046911083,HAM
6,297.2128193777778,296.0013616114286,ALO
7,270.74199631519707,267.98731875780874,ALO
8,169.11557106481888,171.60188140644732,HAM
9,240.06687118846858,237.26270465105756,ALO
10,270.870615265702,271.76680144179204,HAM
11,256.23125886431376,235.07232077945164,ALO
12,210.3247253737474,197.322830703809,ALO
13,119.00193241351579,119.48363672126983,HAM
14,124.74133307901235,124.55561317304546,ALO
15,158.22664076689625,152.29990351286665,ALO
16,117.54894471312456,129.29814745895305,HAM
17,228.04221802901563,227.58903208403808,ALO
18,178.8970081165576,170.44588735430497,ALO
19,164.58437342990123,157.6761918946573,ALO
20,243.62557735238096,247.48522444652235,HAM
21,270.871969838522,271.88135151470317,HAM
22,287.6979147236907,287.1085622247619,ALO
23,297.2538257385281,295.49337195851854,ALO
24,301.33529402352946,298.86024306666667,ALO
