Minisector,NOR,BEA,Fastest
0,289.38251743361633,285.80208282190875,NOR
1,308.2280208569632,302.7630786074074,NOR
2,306.89463772748127,300.7261236801832,NOR
3,202.47660522093827,199.25882514459863,NOR
4,234.83296652900688,232.93709493216116,NOR
5,223.29552268701394,223.12464314958262,NOR
6,206.3684201319243,212.70439632118516,BEA
7,231.2007974244898,229.3667239711111,NOR
8,269.8616592206803,264.4294995772583,NOR
9,280.7750992770054,265.14624449261083,NOR
10,175.74740024087237,174.97135807322752,NOR
11,237.23050922683788,235.54928666914842,NOR
12,120.74746247577983,118.24645821049809,NOR
13,226.21182384484848,221.2711687084581,NOR
14,278.9295539796304,276.6215316072636,NOR
15,294.93797063372534,285.88418350994283,NOR
16,218.91509913153592,216.2514823851234,NOR
17,187.01020483238415,187.06570984159487,BEA
18,267.54198741750645,267.4284731715751,NOR
19,295.26645361922897,290.46615016342855,NOR
20,306.75714644248194,300.83563622485497,NOR
21,306.5727381739683,302.05029412940837,NOR
22,273.89059448402116,270.5097344231651,NOR
23,118.46576931787276,120.3555268629483,BEA
24,246.0484551628219,241.6408107754882,NOR
25,,272.9624992,BEA
