Minisector,GAS,STR,Fastest
0,261.1467705426046,260.7287768101793,GAS
1,131.62571075571017,128.24329429115056,GAS
2,268.5934884675742,265.20868301626257,GAS
3,314.49510574391536,306.3122363919022,GAS
4,315.01067000558334,304.6444170906911,GAS
5,324.8307318857143,313.5182978298319,GAS
6,331.2264660246914,319.2174383506173,GAS
7,325.3183121623745,319.0154661996499,GAS
8,188.9228028656861,190.3152124595516,STR
9,193.21116125658045,192.1065201086656,GAS
10,183.6216889714286,179.86765101122973,GAS
11,166.3078068376814,163.04624736087464,GAS
12,252.08797390394835,253.78785141090725,STR
13,272.5351563,282.87507869242995,STR
14,277.1887304775372,279.4476200834917,STR
15,274.7259106,271.94236121685145,GAS
16,183.6622372914346,181.5526261815336,GAS
17,191.85340074901833,190.3186636472994,GAS
18,243.42457310022706,237.63557485400764,GAS
19,288.39142857142855,286.50818334307013,GAS
20,311.63281803139034,310.9854811026224,GAS
21,319.1598765432099,318.4273955510296,GAS
22,308.17421143552247,317.44315478095234,STR
23,258.4336477390435,260.32816993898825,STR
24,116.8077812445155,111.14018175131301,GAS
25,,231.537504,STR
