Minisector,PER,LEC,Fastest
0,320.94986983238687,323.5124603527014,LEC
1,329.75214862079173,338.2597086845113,LEC
2,326.4935070336508,337.55299979147867,LEC
3,200.50354819839953,201.45930454337238,LEC
4,111.32743790983294,110.94093627404878,PER
5,262.820875086011,259.1428776301351,PER
6,299.95568001567943,299.8455919703309,PER
7,317.1204462072596,319.611044186723,LEC
8,266.6742480988523,274.0461111833125,LEC
9,138.2991544347473,132.86933661690287,PER
10,214.34240190483342,207.15278045131558,PER
11,204.32048704487622,210.1156605913454,LEC
12,189.55336421541858,186.39087450320162,PER
13,264.9755654184127,264.75045739192143,PER
14,300.90005143947894,307.755692738089,LEC
15,316.10194527982685,324.537243927873,LEC
16,257.50718529400933,267.33397578863935,LEC
17,204.33319377597545,198.86092064081157,PER
18,271.9007567329041,267.07406840455025,PER
19,306.97059766795576,306.50964957798294,PER
20,322.4752896442931,324.10838626913716,LEC
21,309.30903438776335,322.03941354666665,LEC
22,204.04591545804013,197.07947367414533,PER
23,260.51368481269844,261.43105100458996,LEC
24,300.83561568312825,303.350330210915,LEC
25,312.9428571428572,,PER
