Minisector,LEC,LAW,Fastest
0,316.404809053705,317.16313094276336,LAW
1,313.02758877428573,314.05549152969695,LAW
2,165.46970612656085,170.97077715600102,LAW
3,163.08605785219314,159.1767163019174,LEC
4,203.9678594181818,197.16467117894973,LEC
5,149.22210769711316,147.50750669025004,LEC
6,203.02739102476193,200.99334337413865,LEC
7,272.84628375896085,271.62480112818946,LEC
8,290.7403014135873,292.41948953641736,LAW
9,282.21490643361346,286.0664060286731,LAW
10,243.67010821500935,235.7208032036281,LEC
11,245.38120321176274,240.07637108627725,LEC
12,221.33792096478288,214.6930665378361,LEC
13,180.19822895042734,178.8174366747571,LEC
14,135.173937850492,137.5765153889324,LAW
15,130.83819426290518,131.7844608165071,LAW
16,205.72252393962327,201.6836868366206,LEC
17,266.99302888685713,267.291248913157,LAW
18,207.8117674838514,198.0714452581778,LEC
19,113.09710062667362,114.23706241671694,LAW
20,205.7016147525926,208.41863267271611,LAW
21,188.83454461168947,182.16305151156175,LEC
22,250.411058469376,251.81062805033187,LAW
23,280.56030132148146,277.21429495297497,LEC
24,306.3719516009015,304.10391253768705,LEC
25,316.75780288701543,314.42916693333336,LEC
