Minisector,HAM,RAI,Fastest
0,229.64199085243456,228.6174742210954,HAM
1,283.10231314365245,281.08186267375504,HAM
2,297.87866670933334,297.2691666529524,HAM
3,304.58596643963284,302.93039258944526,HAM
4,271.6456239341817,265.1508816818342,HAM
5,165.26972466362332,158.04119708053813,HAM
6,260.26106306206896,255.87379549316913,HAM
7,272.30464742564106,275.02638885925927,RAI
8,214.31591415717,201.16930926312259,HAM
9,219.11568832403523,214.17951501546338,HAM
10,186.1044411785899,173.54712094836674,HAM
11,219.10643988686869,218.4137005301777,HAM
12,207.52940678098523,197.30187378284458,HAM
13,216.8894718052798,204.47999862857145,HAM
14,219.0596272881966,217.8505420711789,HAM
15,183.5554973305098,174.7735951283759,HAM
16,245.45367337398474,242.47972072775042,HAM
17,284.61950057319115,283.44071220515383,HAM
18,295.6530000213333,297.475666688,RAI
19,282.71269095009524,292.53696549104046,RAI
20,131.9601068827514,126.99973791653424,HAM
21,162.78358778671202,152.4112979849801,HAM
22,150.62896800087856,146.35847730677855,HAM
23,211.56456618139524,197.3383347497027,HAM
24,143.87127023996123,141.0017204665274,HAM
25,178.93332906666666,,HAM
