Minisector,NOR,BOR,Fastest
0,261.47085352893544,257.11207042527775,NOR
1,133.51817734544218,131.71677699716247,NOR
2,269.11954775254486,266.7933055235873,NOR
3,311.4376052649908,307.0174549029893,NOR
4,311.3550504740135,307.3485847246561,NOR
5,318.5697863936811,314.9478787927273,NOR
6,322.4405493236364,320.1392380688254,NOR
7,322.63138014444445,317.4502854834162,NOR
8,206.7935901084543,211.08572383671236,BOR
9,206.78338295042363,197.84130789918646,NOR
10,182.38227859868888,187.29285152526984,BOR
11,175.07705791865695,166.73838616031546,NOR
12,261.15019059739797,249.76573370544182,NOR
13,279.72437348988717,275.02561078871196,NOR
14,289.9162849608211,278.2867607200977,NOR
15,275.8337330697143,278.0626184504434,BOR
16,183.713801623908,175.22787852380344,NOR
17,200.59279342886174,202.20453495306512,BOR
18,251.33790225710763,242.41145046760835,NOR
19,293.9617247294092,289.67880949333335,NOR
20,313.3696037288312,309.07874897809813,NOR
21,318.01344698181816,315.16541959555553,NOR
22,316.221627015873,313.48096722412697,NOR
23,264.7231916551661,286.1386125075385,BOR
24,115.48445805697901,115.12250006324841,NOR
25,231.36249813333333,227.0916672,NOR
