Minisector,VER,STR,Fastest
0,277.5088783352092,281.4060509651452,STR
1,241.8477544291957,254.07522802174384,STR
2,264.80592553823317,270.27481834836533,STR
3,281.3579649008158,286.303703762963,STR
4,133.67244795003026,126.87781609916024,VER
5,211.9795670662673,208.65339611686292,VER
6,268.31837621179517,266.47390900084116,VER
7,287.6472222222222,290.0167431047062,STR
8,296.28850768829705,301.7464776039017,STR
9,298.52369707779656,308.05,STR
10,280.05392156862746,297.4713584,STR
11,106.19464345083912,105.40143953890832,VER
12,223.24342251838561,220.22400447075668,VER
13,268.8189567997484,269.77967100216046,STR
14,268.98267649122806,277.0266027485293,STR
15,135.28784441654886,128.382605183746,VER
16,209.6988365305663,200.33980822465216,VER
17,257.631071711443,254.6240415937106,VER
18,257.5799420338555,253.89262516490982,VER
19,246.08893182288588,249.26377559770953,STR
20,154.59263135537128,144.3423692117413,VER
21,198.47707131271633,184.95551775053494,VER
22,178.82554877583055,170.34115997807595,VER
23,195.7765801953674,188.0161594690906,VER
24,251.12575314666137,247.07847071737547,VER
25,268.46024980907094,,VER
