Minisector,OCO,BEA,Fastest
0,293.78729078864274,306.45488937168045,BEA
1,303.4119356554522,324.21136066400453,BEA
2,278.2989846462574,298.2931439438961,BEA
3,108.71268933815585,106.17561397998905,OCO
4,223.30668290799687,228.3031655054222,BEA
5,273.0929154149083,285.3477347400866,BEA
6,201.38596448784992,193.72685302883414,OCO
7,160.34106475578497,161.11985423208216,BEA
8,199.37907735368773,197.5584858957804,OCO
9,206.25602722658007,208.09615870906833,BEA
10,113.46048486061773,107.54600719504526,OCO
11,227.5291543536277,224.0012668923053,OCO
12,118.05352825727417,112.49891364842337,OCO
13,223.10504715409036,228.19146108132173,BEA
14,278.64291072080806,288.3187991072606,BEA
15,206.83645579283208,194.87691479194865,OCO
16,180.3846841009009,185.59456244502164,BEA
17,249.6789361457557,247.14514900743,OCO
18,189.93307465406363,183.89401484054835,OCO
19,174.484502617638,181.53487221910103,BEA
20,265.5717988668178,266.1367181,BEA
21,294.0461357049758,290.44910226005265,OCO
22,164.45737578889663,164.8169635721337,BEA
23,215.4524367501654,217.83537501249506,BEA
24,276.6554997904047,277.65560504785367,BEA
25,293.9375,,OCO
