Minisector,ANT,HAM,Fastest
0,290.27443195967305,303.869166264254,HAM
1,165.18404254627666,162.7591296523126,ANT
2,171.31991844000441,174.68399874504814,HAM
3,255.264927990325,255.62395529535857,HAM
4,287.5743527666612,284.59093428147406,ANT
5,252.7829704133609,255.51260528285454,HAM
6,224.0478802196788,224.25293326358386,HAM
7,152.7724371941061,153.3629886004808,HAM
8,233.973115642796,227.79356121341004,ANT
9,280.1627839806061,281.88182087014366,HAM
10,301.56203229678,305.0167172403683,HAM
11,312.55334161109437,322.38125105222247,HAM
12,318.16172443520924,333.9152867458724,HAM
13,314.85613867212277,328.9890413970927,HAM
14,125.30930925219728,124.65979436885885,ANT
15,120.68229769252497,114.04462127360078,ANT
16,102.49490455672179,105.83098269200879,HAM
17,231.7502761199093,239.04086929887447,HAM
18,283.7915552735462,286.5800166758413,HAM
19,305.24366194567904,312.268022017697,HAM
20,316.7975649240485,328.0777768814035,HAM
21,320.2432858406295,328.7110283621246,HAM
22,129.4181419841151,119.94405526179231,ANT
23,202.62680022332714,211.3873046305185,HAM
24,270.69359061244995,275.1223718258325,HAM
25,286.4812496,,ANT
