Minisector,VER,ALO,Fastest
0,294.9966157521886,297.90639228799273,ALO
1,216.05775932835218,217.11934875943413,ALO
2,233.3262801495591,229.0540914499734,VER
3,277.3173577994478,276.8397590499766,VER
4,241.92732812609694,251.38803647140415,ALO
5,133.6630549912837,124.78180927936741,VER
6,212.52043569824056,217.2840205549692,ALO
7,261.56829195545356,259.8685587790505,VER
8,251.46698733602182,246.45405994314464,VER
9,241.05832491745593,244.00429489631833,ALO
10,275.88352765084886,275.0069468073439,VER
11,289.6422955577274,292.6604239907648,ALO
12,297.45618639906024,300.39923760649566,ALO
13,301.56904765968255,301.69939248795725,ALO
14,295.39677814923783,297.4502138377335,ALO
15,259.304627584265,253.81576821773623,VER
16,248.33281112333725,245.4002052930909,VER
17,278.45028876882486,280.05492396232506,ALO
18,285.38670480246793,286.9498352267942,ALO
19,161.22987560662085,158.46598786574756,VER
20,211.41180323706152,212.72826013425288,ALO
21,182.85665483009672,178.16310371919099,VER
22,140.42650735409995,150.9547466208202,ALO
23,238.48313151685923,246.20814099029175,ALO
24,281.54343441454546,285.1775328888784,ALO
25,293.0,,VER
