Minisector,RIC,RAI,Fastest
0,297.37957144990474,304.43370949849134,RAI
1,158.19422928881082,156.68596143887063,RIC
2,149.11906043333272,147.84038827716276,RIC
3,223.09986931960376,223.18198905717588,RAI
4,287.7651904121905,295.2748015873016,RAI
5,292.65972222222223,297.4453084134911,RAI
6,144.6847850644732,141.21908343466666,RIC
7,139.51048792990477,137.8726892220355,RIC
8,144.88226195809523,145.329416832,RAI
9,181.97834501379577,178.5712231219318,RIC
10,129.6232370803696,129.03250029633642,RIC
11,124.74521656628896,125.62987220411684,RAI
12,166.35979781444829,159.3830732369044,RIC
13,271.384592392674,267.6639166976297,RIC
14,291.2647204136306,295.0472075172517,RAI
15,151.32872820043553,150.94911209899865,RIC
16,210.0301856858704,210.18182294157077,RAI
17,166.41826465850045,163.39246923602244,RIC
18,271.89102564102564,271.0905025948327,RIC
19,297.0235964693198,296.77599991466667,RIC
20,310.155753968254,310.49868660856356,RAI
21,318.0232410578976,320.23423265039946,RAI
22,319.81060606060606,325.78968253968253,RAI
23,321.6666666666667,335.94575129408906,RAI
24,320.3748333653333,340.7193182060606,RAI
25,,342.32499946666667,RAI
