Minisector,NOR,HUL,Fastest
0,275.37498334911567,270.11302062459697,NOR
1,240.11009433184108,241.63537198466864,HUL
2,119.91157470487815,117.53979627362702,NOR
3,176.2653754978818,174.37055494027513,NOR
4,196.51586058453628,194.27273837440006,NOR
5,203.54890285113999,195.51223712018142,NOR
6,267.7738174317493,265.36269408338717,NOR
7,289.34487491388103,287.77616896277056,NOR
8,229.56152143197463,247.33455315837048,HUL
9,151.69804732084333,145.6186622122892,NOR
10,121.8026620368742,115.43485406788216,NOR
11,161.26760740679276,148.88886415729453,NOR
12,243.98602299204288,241.23297210217788,NOR
13,153.14879537349645,158.56726980500866,HUL
14,159.75455921062712,139.216428219364,NOR
15,106.32554466008041,105.72322226490034,NOR
16,224.70132686569562,209.60468793846152,NOR
17,234.55407826539684,251.26817253463892,HUL
18,132.03623203639924,122.75763261701425,NOR
19,243.12657352049925,234.1207100931403,NOR
20,277.3514044377489,275.32550654230727,NOR
21,197.9460401416563,219.60985049642917,HUL
22,165.21737980547186,140.65550260270797,NOR
23,221.02298790734736,218.21968833132547,NOR
24,234.8464935606349,215.5467503666009,NOR
25,260.68125088,250.42321325714286,NOR
