Minisector,VER,GAS,Fastest
0,271.00401311390476,274.6808011758274,GAS
1,299.43274284523915,307.04121375492065,GAS
2,312.5498069645311,327.16107958204077,GAS
3,321.4968682434709,338.96705359960583,GAS
4,326.2833431149206,347.4583146123428,GAS
5,328.2210938,347.4750903182222,GAS
6,203.75920595258663,193.24276493131657,VER
7,105.8281187648637,103.6742966190556,VER
8,186.4221351072578,180.6302889847619,VER
9,261.18704343135937,265.88579997777776,GAS
10,290.176153,300.62711318031745,GAS
11,186.43315201124548,135.19912476002048,VER
12,96.82518911636168,97.3804403185937,GAS
13,115.01409238020342,115.42291017419572,GAS
14,220.06718880444444,218.97222373402596,VER
15,193.25750121522427,190.01462003692998,VER
16,229.96995597473682,225.3773424231884,VER
17,184.53626737758242,178.06781151535787,VER
18,241.71237180326202,239.7220474328889,VER
19,278.56523042689076,282.55832832739566,GAS
20,254.0160916503214,231.94773963975757,VER
21,145.6349357230303,142.60838659592966,VER
22,97.23701513757163,98.4480427277742,GAS
23,121.94796943769315,124.33609984762913,GAS
24,225.42606132149547,229.65392211352383,GAS
