Minisector,SAI,ALO,Fastest
0,317.5637437154346,318.83279565343884,ALO
1,326.00904966469506,329.09509175071014,ALO
2,321.83153778442147,331.86310722742854,ALO
3,184.17600921255888,183.5980993425759,SAI
4,125.8892529988628,106.79660123193962,SAI
5,261.59980368501596,263.2609557148361,ALO
6,298.62520737501507,299.32659853494766,ALO
7,312.49854831918975,314.80742627361343,ALO
8,268.1770744383261,264.54841189027456,SAI
9,139.31340684357752,137.58788505783485,SAI
10,209.55782793224708,210.98289471264368,ALO
11,209.75003486452894,202.69194493401204,SAI
12,193.6940788943653,184.56185442223486,SAI
13,265.25033835326644,265.9355594109091,ALO
14,300.8386540836458,301.60488857790324,ALO
15,312.30024986983653,315.2516426996218,ALO
16,256.4276986107137,242.96770897608465,SAI
17,211.04163897072078,208.15601115286947,SAI
18,270.9847263232778,275.13046604341054,ALO
19,304.9638447895739,306.6664578684701,ALO
20,315.57901158466467,320.31089996973463,ALO
21,296.62425736630087,293.09263285740155,SAI
22,204.1284517960189,197.53614198013074,SAI
23,264.51435137186456,261.6111998057143,SAI
24,301.05511586279374,300.52591207302413,SAI
