Minisector,PIA,ANT,Fastest
0,289.47723614907164,287.8455873990885,PIA
1,308.0995516750849,307.59873129382134,PIA
2,312.6571850454257,310.6903179100621,PIA
3,198.34996541334158,199.38028718549924,ANT
4,237.72142249362074,234.02679595187004,PIA
5,224.14417080200718,222.34568332115458,PIA
6,206.57630466031745,203.20723686549536,PIA
7,235.06587472544172,232.36233810536262,PIA
8,272.53072966724386,270.4989160112208,PIA
9,275.75239845971606,276.3616055443478,ANT
10,173.70016285467787,177.58565969895693,ANT
11,240.13568168766963,240.12661491595736,PIA
12,116.8326461292658,111.79827338766013,PIA
13,226.05191786385095,226.12127420513482,ANT
14,279.31322424110243,278.581307338185,PIA
15,295.77067136296296,292.9987662799423,PIA
16,216.56086385686285,217.6364655711011,ANT
17,190.34005029492735,194.3142190247829,ANT
18,269.42482806012123,271.0258852369801,ANT
19,296.18538760524507,296.01374966857145,PIA
20,308.0092924609529,307.60563206643684,PIA
21,307.9370623077469,305.957755758961,PIA
22,282.2056207714091,268.70396020132637,PIA
23,116.95397142314462,120.95572340147564,ANT
24,243.3566529955267,247.71506543736265,ANT
25,276.0324589385367,,PIA
