Minisector,HAD,BEA,Fastest
0,295.6410336769144,291.1336594426272,HAD
1,150.74709749845135,147.34126403190723,HAD
2,223.04765974859828,227.3348239964322,BEA
3,282.3652539579677,280.0604650938525,HAD
4,311.32239555555554,311.4460142334199,BEA
5,297.18405624407825,302.14195573280705,BEA
6,150.7349422630601,149.9979445308279,HAD
7,240.84186188691464,255.48986474880397,BEA
8,112.89501680023791,112.57273353471429,HAD
9,173.3762350551568,175.3590272694472,BEA
10,271.38583136705915,281.35545649982873,BEA
11,301.04614347962104,305.0143693919628,BEA
12,211.39576597099406,214.69706397768041,BEA
13,169.49097497605305,170.7179992118013,BEA
14,280.1830467383873,280.8510743423457,BEA
15,312.9089250852465,312.995845415873,BEA
16,327.0683197745223,327.3733721888584,BEA
17,334.2824218,333.59212389505035,HAD
18,336.61175594285714,337.11350655910366,BEA
19,334.46494000788,339.5431762705314,BEA
20,189.26438152970803,188.03949827468745,HAD
21,176.16572941373033,178.97977091438358,BEA
22,280.24295882250607,284.325632538446,BEA
23,312.86910872622826,315.1401975366289,BEA
24,319.12610068624,324.2088256740136,BEA
