Minisector,RAI,GIO,Fastest
0,288.7345348011093,302.98052490017506,GIO
1,291.2071247091154,306.2451030987755,GIO
2,157.29858570489893,155.0846093123928,RAI
3,227.26626804789015,224.81643080723114,RAI
4,273.42578832673956,283.333266659536,GIO
5,293.05864411683797,308.1166328952177,GIO
6,296.58285393597214,321.33312414175754,GIO
7,149.96651230056227,144.28620336624604,RAI
8,142.46226860734157,143.59515437754,GIO
9,250.6214811336789,258.01325281646393,GIO
10,283.18759834890676,295.5912199743408,GIO
11,293.7413262617369,304.88792677816707,GIO
12,144.7455718689406,137.4348684781529,RAI
13,198.3345427330689,197.43631346913557,RAI
14,256.9202833707628,258.63218200380516,GIO
15,192.32716968088084,188.15249415949424,RAI
16,218.37674138258356,221.37237176297722,GIO
17,206.15950607403312,204.1909509231206,RAI
18,243.91865354056617,241.7826553662406,RAI
19,274.64440063621754,275.4709420617362,GIO
20,290.61290713198804,291.6524994203963,GIO
21,252.42548018038758,255.28772145656538,GIO
22,222.02543806533808,218.06277467086667,RAI
23,203.30339540632517,211.47114804093624,GIO
24,260.76699781971604,272.68344457955556,GIO
25,279.3833333333333,291.020832,GIO
