Minisector,VET,HAM,Fastest
0,281.1301180717354,277.84665877413977,VET
1,219.3243685302471,225.59900295314284,HAM
2,113.96207422974771,115.07980673564401,HAM
3,202.1458932760172,194.39284408950792,VET
4,175.70228161681413,172.7526880344086,VET
5,225.21148193179772,224.23582193112756,VET
6,278.3191820399568,287.44931352804235,HAM
7,295.04495607017543,308.3663688804233,HAM
8,175.75757292429935,179.32162132841782,HAM
9,126.83370734119481,125.88817944304195,VET
10,137.05130322517732,136.52811280853484,VET
11,199.25806610415165,201.7204580910053,HAM
12,212.37596344615383,208.31086871652354,VET
13,131.8857957733333,131.08546742113822,VET
14,147.38985220586844,140.54282856892686,VET
15,128.80701794160026,133.6302570940795,HAM
16,258.01145141399934,264.29843962134635,HAM
17,138.51295468279162,135.44623849241756,VET
18,206.99049785904762,204.08149384014206,VET
19,137.2506381641237,133.2269586191264,VET
20,145.01581319607135,143.71410389967767,VET
21,128.22341203004257,128.23687294724445,HAM
22,151.0146057211519,154.20606240677483,HAM
23,220.2628411270073,222.51709396746614,HAM
24,238.18042514608197,242.58858731594205,HAM
25,267.27499946666666,,VET
