Minisector,HAM,HAD,Fastest
0,301.0474567139847,293.0680908933333,HAM
1,318.4131612547743,306.215882247873,HAM
2,330.1155112793651,310.9052314646913,HAM
3,334.3062261433063,305.37185102222224,HAM
4,197.69731310180288,189.74236932307397,HAM
5,220.22299211924076,223.39414320883589,HAD
6,269.1247783324444,271.9121321159805,HAD
7,269.3460508250945,266.63492411027573,HAM
8,193.8216384849554,195.52034980253808,HAD
9,143.51684812994404,144.3199805586143,HAD
10,185.87672378359926,184.49028399450836,HAM
11,265.74797797647057,265.1005254308388,HAM
12,250.23524056098003,244.33242756508307,HAM
13,232.88904695379034,226.2501148889742,HAM
14,273.62071589931526,271.1038421118537,HAM
15,170.25137149285123,165.5439018174296,HAM
16,219.86098359443224,218.89481658254257,HAM
17,236.38711169223706,233.7707679506117,HAM
18,139.66320011026158,131.09418204347782,HAM
19,251.60181895675248,246.1002535776648,HAM
20,286.63480937614315,287.46068656430043,HAD
21,241.60729803982684,235.9848921803337,HAM
22,143.73757967772002,145.24895587565265,HAD
23,223.00323163033127,220.86013748454175,HAM
24,273.1912059773738,274.29631996434233,HAD
