Minisector,PER,LEC,Fastest
0,290.67744954761906,305.3894031489645,LEC
1,300.34682554920636,321.3503434901099,LEC
2,275.09607916596826,295.0924613165121,LEC
3,104.91190515627494,109.39978011982157,LEC
4,224.86916688894448,223.91737676744748,PER
5,270.37946480346324,272.241269606811,LEC
6,215.10132475791355,186.7308291235925,PER
7,168.17084227345552,165.701241582663,PER
8,208.50221265985786,213.95088107308848,LEC
9,218.34284691809523,222.56334115572872,LEC
10,118.5854996457008,113.83918765786359,PER
11,230.51684280041127,228.63127605853177,PER
12,124.04132959601965,122.44155382492566,PER
13,222.0150836682422,219.04615315059164,PER
14,271.54492749271395,273.90575119787184,LEC
15,224.3945464507864,237.29841831724139,LEC
16,194.83195413312714,190.7604619459051,PER
17,248.37142664410254,251.11308356266665,LEC
18,212.30179040545792,201.1437411655101,PER
19,183.22815342105085,176.78619512937237,PER
20,262.168676893372,260.0463329265655,PER
21,288.95156959769116,288.4452155253589,PER
22,172.19942459568787,186.74890710157942,LEC
23,210.41451025645932,202.67156862090354,PER
24,268.7730528806885,268.3084102617687,PER
25,283.2083328,284.1027776,LEC
