Minisector,HAD,STR,Fastest
0,303.2036691014346,308.9109821259761,STR
1,198.70778515216966,204.1892292515679,STR
2,147.19650839313366,135.21665878567177,HAD
3,220.83779251313712,221.35699445575827,STR
4,168.65743184003543,162.80389918847467,HAD
5,177.49527648877515,174.88552625259229,HAD
6,257.62146294528253,255.3001499946396,HAD
7,281.4229391845926,281.53979146666666,STR
8,289.5377342374695,289.98826123051464,STR
9,263.31567091450984,271.07667171071995,STR
10,244.12427122238773,250.5932817108225,STR
11,246.86866480772915,245.35781379400424,HAD
12,208.9165708984212,219.60371972190478,STR
13,133.22716276631928,135.0100034051618,STR
14,138.9099973297044,152.4747866232525,STR
15,181.85727857820106,158.656932726734,HAD
16,249.94386547032195,251.29970995238097,STR
17,234.91602069892065,259.8299246443446,STR
18,114.69871238414156,113.02131492924183,HAD
19,196.77134170817243,171.28927440091618,HAD
20,202.56332859066345,206.30798966511614,STR
21,237.76227376931217,232.1623882309624,HAD
22,265.560864579612,273.1698177777778,STR
23,286.59770696677816,297.5123057447619,STR
24,297.9974217777778,318.2338503276347,STR
25,,325.7431813818182,STR
