Minisector,PER,ALO,Fastest
0,240.16259036428633,241.82053602321253,ALO
1,275.03391533968255,272.9380848135218,PER
2,179.461293781949,164.72964778235416,PER
3,154.3316004024932,151.67739444036036,PER
4,255.98807595743304,254.84113309529374,PER
5,274.2680750022777,265.0045677457644,PER
6,225.21335737574455,224.61025964522523,PER
7,198.06859061096935,194.66949182400222,PER
8,155.2619576749633,152.988185819318,PER
9,213.13003543209788,205.98374449989257,PER
10,269.76191307421396,270.95815449037315,ALO
11,118.10641864326472,120.99555808250304,ALO
12,204.8023275344876,197.34620249823718,PER
13,271.6782489251196,267.2864880152381,PER
14,292.58095203114925,290.5715153835077,PER
15,301.6691820349863,300.17484589913045,PER
16,243.02642872611833,271.67230056533333,ALO
17,132.87971651456175,128.8154630504489,PER
18,132.13922726492422,127.28824194485198,PER
19,122.32188391159657,117.38892121656436,PER
20,222.68101877076646,217.26740223260134,PER
21,252.70806929743404,250.65046327161906,PER
22,234.68857822711288,234.77470968249256,ALO
23,213.50041303699405,202.59389698999595,PER
24,139.10853775706755,129.370922992965,PER
25,,209.86071296,ALO
