Minisector,TSU,STR,Fastest
0,304.0427796935818,306.99765383822313,STR
1,318.01031761269843,323.4341270857143,STR
2,289.02074827542936,290.8057979494824,STR
3,108.84134578536396,110.05721310657005,STR
4,228.28170664515002,223.1573588141892,TSU
5,287.15750136935355,272.6856664746667,TSU
6,220.50596199560493,211.132242742357,TSU
7,156.69677099677617,160.728358132817,STR
8,206.4051745304192,207.05455851989018,STR
9,215.60442713333333,219.33255077596672,STR
10,118.24325136587137,119.52701887526467,STR
11,229.26900923543383,226.58335984899148,TSU
12,123.88347368993024,123.03703470118174,TSU
13,222.24563628698414,226.4336109511111,STR
14,278.43844306031747,275.39577123060707,TSU
15,217.6177854354394,213.10497063698935,TSU
16,190.99026744037477,191.7716971388046,STR
17,250.97094390970017,246.42127083185727,TSU
18,205.77982032421988,197.313468334866,TSU
19,178.67529821421337,184.0854771863202,STR
20,262.64078042486506,263.7454632997492,STR
21,288.5893119072464,279.45709114037265,TSU
22,175.7939706446495,176.28373020555742,STR
23,212.54869903333332,215.4676703796835,STR
24,269.48442482936133,267.7317285870859,TSU
