Minisector,BOT,LEC,Fastest
0,251.72951297777777,257.9211701399586,LEC
1,281.39039569846756,283.57341636796593,LEC
2,174.66178816000001,171.4406447403369,BOT
3,172.9445411549941,172.1850574034218,BOT
4,261.64635821090263,264.00414606062236,LEC
5,277.21636587775635,282.7841377888193,LEC
6,234.84500096,244.45890784217863,LEC
7,206.7024912271147,215.62475523407898,LEC
8,165.70928331956986,159.18569241860678,BOT
9,221.49320794074072,218.72701879699392,BOT
10,277.7098576074608,276.764663812987,BOT
11,124.43788251097682,128.45385461094978,LEC
12,220.16944209382714,221.83917865533297,LEC
13,272.2607703945578,274.4092263293141,LEC
14,290.5961165061224,290.9589877180953,LEC
15,296.9260964491228,297.54229168,LEC
16,230.75666819000173,226.8496961580247,BOT
17,140.02344885581397,140.5160070070752,LEC
18,141.43351329626353,143.40622420212543,LEC
19,124.85521753935208,125.5393314663247,LEC
20,234.53974557407932,236.097220984127,LEC
21,260.71985863896106,261.58653449758424,LEC
22,240.15180324548678,238.67083541333332,BOT
23,216.8538138638448,218.16966998281848,LEC
24,149.03046732,148.74150166857143,BOT
25,224.53333333333333,,BOT
