Minisector,BOT,SAI,Fastest
0,260.46958825253944,268.20942706484635,SAI
1,127.97376075698023,133.71672328771143,SAI
2,199.7058418713599,196.97786986625394,BOT
3,249.5677565681332,250.55561194794805,SAI
4,261.11200323331275,262.4729046692142,SAI
5,173.8250127719009,170.19850170181974,BOT
6,148.58009484201762,140.1378276764167,BOT
7,187.84972934813374,181.85961306219335,BOT
8,102.3018259137728,103.94951363904282,SAI
9,73.43682820148234,69.49911601046782,BOT
10,95.18489328724894,97.68562395155327,SAI
11,186.22823158731606,187.24250225724225,SAI
12,248.1137978048852,250.3649190938738,SAI
13,273.19842151036636,274.35495854731414,SAI
14,286.2705907685698,280.4912751035363,BOT
15,118.1388824123364,102.1353435820305,BOT
16,144.35502842014236,160.4570738373825,SAI
17,187.14288683657304,182.01580374754877,BOT
18,200.6414766416405,199.12314203124927,BOT
19,212.40826729354444,195.60726641384312,BOT
20,138.62345877016028,136.88151692005314,BOT
21,114.27818175361158,99.16960587055992,BOT
22,94.0186509874342,104.10193371737377,SAI
23,196.1465654717165,211.52134477939822,SAI
24,254.2392102869235,257.71760493054353,SAI
