Minisector,STR,ALB,Fastest
0,276.60810216299205,278.24945950281824,ALB
1,294.8015348240628,299.70665926557,ALB
2,294.41944565163635,298.11719886980416,ALB
3,175.32290018759736,182.39035861178888,ALB
4,116.50839740190851,118.43840880623377,ALB
5,232.73274100072396,236.12957867913968,ALB
6,279.4822975965368,282.69385092751656,ALB
7,291.67586017567976,297.6306380824291,ALB
8,166.7654713614849,171.39686107455688,ALB
9,132.10289305877606,143.91537021102317,ALB
10,248.60742469968253,253.41854616280477,ALB
11,287.5163632597903,293.0521677160548,ALB
12,295.9162464278261,302.7641871062857,ALB
13,276.74534350892094,278.0993270780913,ALB
14,301.8049473466431,304.8800140037125,ALB
15,303.48736429982233,302.38385941223453,STR
16,235.21136071428572,242.85927643503862,ALB
17,221.6337122521498,218.08357491220227,STR
18,281.1918147679703,280.9211422444618,STR
19,304.87495516226755,308.1024133205988,ALB
20,309.42008465019,311.43915444289246,ALB
21,224.20164498438297,228.8138512543708,ALB
22,255.55217617411907,260.37309797715244,ALB
23,140.8158664945964,132.95579413747774,STR
24,208.1681182201369,222.04909171293917,ALB
25,257.3625024,,STR
