Minisector,RAI,VET,Fastest
0,291.13267721904515,296.180980738322,VET
1,313.33020810666665,313.9049907697198,VET
2,314.082630688091,314.5783333333333,VET
3,182.4077384576871,183.0988923954772,VET
4,219.86324642097182,225.09520870076426,VET
5,197.6102708971724,209.00208381301883,VET
6,184.2004727260504,190.57163923493226,VET
7,210.09150217142857,220.3976455029974,VET
8,259.0303319111111,264.81542002135336,VET
9,266.5180222542181,262.2498512444444,RAI
10,172.2915570526316,176.49619977099894,VET
11,244.34186541988217,244.42387501324097,VET
12,119.48482620892659,122.21652897951184,VET
13,230.1209782247619,232.99541179172132,VET
14,280.78879532235044,280.3822714789201,RAI
15,294.72136069079363,292.5752164502165,RAI
16,204.11557619809525,210.4265587924474,VET
17,177.31167529971657,188.96334776334777,VET
18,270.5864650199038,276.8043326937686,VET
19,300.8496757338535,301.7730952380952,VET
20,314.3946694380243,312.8266910723505,RAI
21,314.87979178666666,313.2838095238095,RAI
22,258.8222368975325,280.254347826087,VET
23,116.44812143591525,117.6351413735849,VET
24,241.67003125536428,248.21603149979217,VET
25,277.6124992,281.6833322666667,VET
