Minisector,LEC,BOR,Fastest
0,253.53401689014925,244.4627128877598,LEC
1,127.56927779478372,138.1994511803677,BOR
2,275.9934024135233,274.5233233722809,LEC
3,314.95554582995413,305.4675875299171,LEC
4,298.62910882047294,291.2580881529751,LEC
5,326.63980670694366,308.88565793047303,LEC
6,339.2240548362659,308.3051871290964,LEC
7,326.59928145454546,306.5474409390784,LEC
8,204.8165964161506,198.42589342688876,LEC
9,186.97119898716684,190.72645839545243,BOR
10,181.05544247349405,179.30405635077057,LEC
11,164.17399904666064,176.114459946592,BOR
12,246.47986904956446,244.4418268281273,LEC
13,264.1734807814331,262.1717235317711,LEC
14,256.86895167311826,264.0679973092473,BOR
15,249.58626299681856,253.7266071292542,BOR
16,178.78534113676656,176.64867458585258,LEC
17,190.8314814706455,187.63795789871156,LEC
18,250.41434118908154,241.98940586980393,LEC
19,297.1728487692449,288.1593054631308,LEC
20,315.8025221849599,311.41768504211643,LEC
21,290.6818348761921,292.58813625593353,BOR
22,272.0069050660534,275.13046397246666,BOR
23,236.14205271802481,224.1245364390618,LEC
24,122.59054620371754,125.11408797690605,BOR
25,223.13784859944283,,LEC
