Minisector,LEC,MAG,Fastest
0,302.9548028386923,293.588234896478,LEC
1,225.03191835508184,230.59287702857142,MAG
2,127.66874046001972,129.24505104159363,MAG
3,238.93203297689374,233.2403960853108,LEC
4,193.23913778688384,190.42040663989116,LEC
5,249.80791711828223,244.83654516072562,LEC
6,235.37643156628477,232.76974480346155,LEC
7,257.8945414873016,249.5538020305991,LEC
8,282.0596105086558,282.86329353540765,MAG
9,205.5961061277339,214.37904182980083,MAG
10,206.0017588520471,200.11186793589266,LEC
11,269.26446837585456,267.6564861709031,LEC
12,209.86736676758386,209.95407466440778,MAG
13,247.15024451702425,240.8252774209524,LEC
14,289.8006252076855,286.35395778200257,LEC
15,309.185678839074,301.72249845028574,LEC
16,313.0835357917922,300.29055076190474,LEC
17,235.21515472003625,236.0246899503056,MAG
18,265.7045684391159,264.1127367376794,LEC
19,298.9780202056199,291.98219361620136,LEC
20,315.1490258891577,305.2705212778175,LEC
21,316.4160353131313,303.3628578352338,LEC
22,152.97592412248676,155.03225337966845,MAG
23,234.10530451775034,227.49610731731622,LEC
24,284.49591042119323,280.25510684414473,LEC
25,,288.6288087071156,MAG
