Minisector,LEC,SAI,Fastest
0,295.2366656295416,277.11388893121693,LEC
1,301.10728791714286,286.33027808,LEC
2,249.02689477579858,215.8335156852747,LEC
3,119.73999249287465,109.65562236423037,LEC
4,131.78139898053948,134.5782177823547,SAI
5,258.4443464977825,260.23109455550104,SAI
6,264.5363315950476,230.1748542204233,LEC
7,122.654731103812,127.52909805442519,SAI
8,242.8399878339048,247.55175162035295,SAI
9,248.85413643671495,243.87790988081625,LEC
10,219.17404479739633,191.69800966963643,LEC
11,151.20280044399584,134.63926620365362,LEC
12,198.4101845388546,212.32376351590162,SAI
13,258.24908237883596,246.60215879933966,LEC
14,117.38097797242968,108.16965563719546,LEC
15,182.86611429476073,195.099820800025,SAI
16,266.9384092688186,270.2330877247686,SAI
17,308.0932340343487,315.9750815370465,SAI
18,318.07791671873014,335.1942524597912,SAI
19,310.66242825777033,333.83612417185185,SAI
20,304.9105555504762,324.29421271111113,SAI
21,175.0379698758322,164.37367003459175,LEC
22,137.65695219638476,149.14489502483258,SAI
23,193.06037168285715,173.86166472433553,LEC
24,246.62666467852767,233.1913066417316,LEC
