Minisector,TSU,STR,Fastest
0,265.66124965333336,277.4108591586671,STR
1,286.0154135627052,307.09037680761907,STR
2,285.9161688927864,301.3835380027018,STR
3,117.86988944392735,118.21921359733939,STR
4,185.20930196571427,205.72446146932657,STR
5,250.06989614880052,256.580104694026,STR
6,135.58374098370913,130.02270219588166,TSU
7,198.5923777183653,203.11928027647446,STR
8,254.37206206740723,255.76821965424674,STR
9,277.1736937402801,274.88973246535943,TSU
10,227.31675700900206,227.95791396363637,STR
11,172.41877620959218,171.90559906713196,TSU
12,185.77197421187117,189.9465023790577,STR
13,136.4378301339827,136.31878270518519,TSU
14,167.28086464256234,173.73154929162098,STR
15,158.37578952891525,158.93883605866668,STR
16,215.7295475768617,220.01395478294467,STR
17,227.13428887266957,228.2656960453515,STR
18,234.776939696903,241.7972629057668,STR
19,225.51636766654298,213.92995518222222,TSU
20,142.5101764222324,147.4380685544248,STR
21,130.45510958182382,128.60249470461991,TSU
22,167.62480642585032,166.1271004016813,TSU
23,144.13384531209672,149.94532313590753,STR
24,225.48943845694305,229.1949501815873,STR
25,251.7202480047758,,TSU
