Minisector,RIC,GAS,Fastest
0,237.56488069596648,235.92100173249108,RIC
1,283.913571072,283.5285947211303,RIC
2,297.95394273524744,297.61133329066666,RIC
3,305.61818841043475,305.12961314920636,RIC
4,255.28802293086687,269.6795195625737,GAS
5,171.03420627772357,167.92222716219513,RIC
6,264.27771146808533,263.6710287637355,RIC
7,283.7213093973333,281.79980800237826,RIC
8,212.2112084985034,216.78197597045695,GAS
9,225.87968642380952,222.35351880948394,RIC
10,179.08061042666665,185.58678157432337,GAS
11,228.32652129160886,229.4381002419751,GAS
12,200.1538198814815,202.38600249296877,GAS
13,208.478617551393,211.6683360184668,GAS
14,221.03451814761905,224.82600217514454,GAS
15,179.16738393210665,181.8291600596703,GAS
16,249.22333149328853,251.02969413034074,GAS
17,288.2941837444444,288.2633335466667,RIC
18,301.59227997975904,301.1719202318841,RIC
19,292.0852356034973,290.4702461733732,RIC
20,130.31839360761307,127.91703827775197,RIC
21,150.92760897667634,161.49410487793807,GAS
22,156.4808233733448,150.74335661318378,RIC
23,201.87379234738702,200.82634519769695,RIC
24,150.90838655995344,147.41416637535937,RIC
