Minisector,LAW,TSU,Fastest
0,291.19891309230854,294.7299877512739,TSU
1,303.08404898812125,306.6285052667403,TSU
2,304.76095111495295,306.52482978500797,TSU
3,180.72813162639454,182.8513619963049,TSU
4,209.16038150445777,213.29179264804077,TSU
5,205.89464272761904,200.89765470071475,LAW
6,265.00703384643396,261.569631482353,LAW
7,243.6436031085714,251.68250443015057,TSU
8,212.177791001277,206.00186803480844,LAW
9,205.16034696880132,206.47329936317433,TSU
10,146.30605464659521,143.04992517242675,LAW
11,197.13121232066118,189.91641363788753,LAW
12,194.36906337219048,192.43914162948005,LAW
13,252.8800437958948,250.707417781271,LAW
14,175.857389212778,177.2626754241512,TSU
15,233.63943312018293,237.40435284799835,TSU
16,279.5874190383437,282.09499796680274,TSU
17,290.88245618847117,293.02111108972593,TSU
18,286.758737609697,284.3273875705041,LAW
19,267.7157318759865,263.34426568550964,LAW
20,260.0894098666667,259.8726584124527,LAW
21,262.21448655053393,265.1665437385621,TSU
22,231.57053671486403,225.54597514517374,LAW
23,204.30636435346597,210.2823482521811,TSU
24,269.8930283851852,271.5020740941774,TSU
