Minisector,VET,RIC,Fastest
0,301.93532477069596,297.37957144990474,VET
1,162.64772926635428,158.19422928881082,VET
2,152.69626717777777,149.11906043333272,VET
3,223.70754980324452,223.09986931960376,VET
4,285.89562817289374,287.7651904121905,RIC
5,291.1156010501841,292.65972222222223,RIC
6,146.27400684063068,144.6847850644732,VET
7,141.7746078517862,139.51048792990477,VET
8,149.94258210736479,145.94108363070944,VET
9,177.30859118771536,179.8081414768739,RIC
10,133.64564573620208,129.6232370803696,VET
11,126.9642085876666,124.74521656628896,VET
12,165.31977112530856,164.43979300050657,VET
13,266.9412556952381,270.48145934109345,RIC
14,286.4380663137562,291.2647204136306,RIC
15,152.31067237403533,150.75224337127796,VET
16,212.21113216305054,211.26547980351748,VET
17,169.0566552004066,165.74966773444362,VET
18,271.08037342020714,271.89102564102564,RIC
19,295.47608369814253,297.0235964693198,RIC
20,309.2220426722174,310.155753968254,RIC
21,317.10208329696974,318.0232410578976,RIC
22,319.8366718873706,319.81060606060606,VET
23,321.82265924718325,321.6666666666667,VET
24,319.7486855047619,320.4901041333333,RIC
25,,317.6083349333333,RIC
