Minisector,NOR,ALB,Fastest
0,275.2636091471266,276.20412872093516,ALB
1,297.55233591111113,299.2438947866932,ALB
2,295.54012461491055,295.6812210940741,ALB
3,176.37358061225933,167.13056476466807,NOR
4,118.08752642575189,117.66492894776935,NOR
5,233.0601204846453,239.48491174460435,ALB
6,281.89779487022633,295.76734345456094,ALB
7,287.2026902837234,312.324110385852,ALB
8,179.125840352363,166.83839854160973,NOR
9,139.52704108315714,136.62919113104718,NOR
10,247.91948777025638,248.31646450864048,ALB
11,288.34946636726846,288.935539429418,ALB
12,302.7768819266476,301.28522403755994,NOR
13,287.4860486952997,274.65028859890333,NOR
14,298.38758942765486,295.29659092363636,NOR
15,300.26784739758733,293.94678929866114,NOR
16,257.48781830750124,243.4603207129502,NOR
17,236.04695958646076,223.30353426359272,NOR
18,276.28043789831105,287.6810030914361,ALB
19,296.60784168601873,318.8458286597577,ALB
20,303.3272513137148,321.27843850933334,ALB
21,237.00578567692588,215.2002801157319,NOR
22,263.87846069544975,257.15193568134515,NOR
23,138.96896801416582,124.92168487007511,NOR
24,209.44373073845682,213.14591226852093,ALB
