Minisector,LEC,PIA,Fastest
0,247.29678643094667,249.05210212539683,PIA
1,285.14054926843477,286.07987560495246,PIA
2,182.87598439564442,172.26597843267584,LEC
3,160.80587557764704,159.0583475941875,LEC
4,254.8544009504228,258.1820506824909,PIA
5,275.16915158673044,273.57730618981105,LEC
6,247.93502241937426,251.24186411933496,PIA
7,219.55078727807197,209.3855839180508,LEC
8,159.39516788185654,160.8030130784997,PIA
9,206.49917506584183,220.64123851894786,PIA
10,268.4913562050575,273.84746575805787,PIA
11,126.60333968787809,129.56131162778087,PIA
12,208.9966813677515,215.25772801327562,PIA
13,275.5211665236975,276.36573828455795,PIA
14,297.4301895031397,296.1001558961039,LEC
15,309.0197284462064,304.3211273820609,LEC
16,248.71877022966058,246.4809711335421,LEC
17,125.56693069917986,124.25965991674235,LEC
18,127.98383819101676,126.97649529513863,LEC
19,117.57194252874243,110.67926834993608,LEC
20,227.09148223692424,226.68748149903175,LEC
21,259.73311722943725,261.9014129388152,PIA
22,241.06154232996724,248.81449734836124,PIA
23,218.27999449744067,217.44062142909883,LEC
24,136.45577947451793,136.19958584701646,LEC
25,,218.45363898487994,PIA
