Minisector,NOR,HUL,Fastest
0,298.6936787753873,305.549846382399,HUL
1,308.51352498966133,322.51618420266664,HUL
2,313.2302528485498,332.1554896870799,HUL
3,296.54791005291,309.95626845333334,HUL
4,163.29680094406132,160.9335234918927,NOR
5,209.09905325033586,204.1394876779221,NOR
6,239.53935890241547,234.66152955847167,NOR
7,269.91048585200764,268.859847825989,NOR
8,245.1442851986532,243.96732797575757,NOR
9,167.0948871272882,155.39181742540882,NOR
10,221.81239883048667,221.52602532288387,NOR
11,131.02376758238285,123.96668053334952,NOR
12,232.74337811875776,234.68962596323246,HUL
13,179.51526773289436,177.8286846216322,NOR
14,219.1964434873957,217.81629553421845,NOR
15,247.3196691595985,240.91888621978126,NOR
16,268.27823229714284,269.97132533391056,HUL
17,290.836505821645,301.6932950857143,HUL
18,171.48972281678002,146.69784485841268,NOR
19,172.33888592868422,167.66297455391077,NOR
20,144.6533694244699,135.38349690405022,NOR
21,236.83142222111277,235.8452431985489,NOR
22,269.12565602680775,264.68951337202685,NOR
23,258.1288512795403,251.2002677447934,NOR
24,282.92473911649836,284.3737209731211,HUL
