Minisector,PIA,GAS,Fastest
0,276.510879010352,278.081697298707,GAS
1,299.5755790952727,292.41363566198123,PIA
2,301.495654532943,285.0801214403447,PIA
3,186.02884748739962,163.20741721471703,PIA
4,122.17456787878845,119.62361316855262,PIA
5,238.2903482669197,238.12655779138098,PIA
6,283.0547441879456,284.63980321923725,GAS
7,295.3483886282433,290.6129188426025,PIA
8,181.14064700849582,169.7738101550977,PIA
9,138.8810778282705,140.5920567688981,GAS
10,250.84306205857834,252.00715709817968,GAS
11,288.5693993074968,288.4465026422039,PIA
12,299.9086498291573,301.63726729162005,GAS
13,288.29436870350577,279.93695119703705,PIA
14,306.2423026053333,304.120007130886,PIA
15,310.3704337721212,303.4093577108822,PIA
16,258.09876271725716,244.3259834074725,PIA
17,222.23808146951427,222.07657157468108,PIA
18,277.8775216510145,287.0431097450607,GAS
19,305.99135765790476,319.8800815779473,GAS
20,314.51531221333335,320.09556445257147,GAS
21,249.93842457766235,217.07546803809527,PIA
22,266.5382441470037,258.86817452373333,PIA
23,138.51154755058732,136.05104309767387,PIA
24,212.07061904147466,218.3667583080635,GAS
