Minisector,HUL,OCO,Fastest
0,267.629513591805,273.82252258250116,OCO
1,287.1426885826241,294.725626710492,OCO
2,285.5124792986921,286.6813761616162,OCO
3,172.87003645231292,167.82211201215273,HUL
4,118.30283676773705,114.01979299140929,HUL
5,233.8730117357493,235.68430816774514,OCO
6,276.2010941561777,282.12078451630055,OCO
7,286.1798657995378,291.21306763636363,OCO
8,167.7162465049067,165.03310051379492,HUL
9,136.86246537725756,133.75497465490588,HUL
10,245.66977068840572,248.94660372348335,OCO
11,278.2261776926882,285.61686910020046,OCO
12,290.32855245766217,292.02129670877355,OCO
13,272.14077644892285,268.2049595125599,HUL
14,292.5497983358393,296.4983305906914,OCO
15,296.35490424778504,299.20025446982754,OCO
16,237.87250294839995,237.70141947009654,HUL
17,213.58278197011614,214.0773172556122,OCO
18,270.75521075228244,276.6057610554894,OCO
19,294.4758598598078,303.0549123568451,OCO
20,300.7670058559283,307.69276791033394,OCO
21,221.9867154455028,214.99237421543458,HUL
22,250.733573775298,249.98132150191574,HUL
23,135.19374226879282,132.43603486362883,HUL
24,206.0026010486303,208.294943405032,OCO
25,250.43749866666667,253.3624992,OCO
