Minisector,RUS,LEC,Fastest
0,254.1490893135129,259.64464706097186,LEC
1,123.85994280808956,120.99345982749018,RUS
2,259.98537486961044,258.5632149217535,RUS
3,300.8003448275862,300.7375290096649,RUS
4,298.5258264442182,301.7943303284656,LEC
5,307.56386904761905,315.6281104594709,LEC
6,310.98718325333334,330.1793588609016,LEC
7,305.8976355959629,333.0003883826388,LEC
8,187.35764065220852,184.51328139421707,RUS
9,190.02957506317208,187.6722624192436,RUS
10,172.54871362372307,180.6239212344052,LEC
11,180.43036378662848,178.46952113199052,RUS
12,255.15516547806445,255.22396422047942,LEC
13,270.0782560262128,270.6480681946921,LEC
14,279.2433405008562,275.58693234977466,RUS
15,260.7737821453324,263.2650471073428,LEC
16,171.7878540622297,178.69818528337214,LEC
17,182.7820624108588,181.85685829993878,RUS
18,236.4075082452381,235.65850721558098,RUS
19,279.3508426992974,280.67245975154685,LEC
20,298.57215906943503,299.8293258367536,LEC
21,304.15404759682536,303.4224068399172,RUS
22,302.20272039478925,304.4432620397714,LEC
23,235.3004336195955,226.32294323554885,RUS
24,109.91285626420984,114.30293835981908,LEC
25,224.2250048,,RUS
