Minisector,BOR,GAS,Fastest
0,299.5094079049624,300.7433271163363,GAS
1,200.70969383167062,184.7997991852392,BOR
2,219.59347437013332,215.73888741443588,BOR
3,268.31183967723143,271.6129528901027,GAS
4,239.4017250816,240.97901564559942,GAS
5,124.82734838513989,120.86990664988699,BOR
6,197.20911881877137,198.03364260010946,GAS
7,242.7411968910053,240.45506963279504,BOR
8,234.40985024298047,232.73985522541025,BOR
9,236.22361635361423,236.79808015610394,GAS
10,284.483340966621,288.57574023809934,GAS
11,308.59544438526797,308.9957442485901,GAS
12,318.70550472814193,318.24869313527995,BOR
13,314.11905098542115,313.7853396678213,BOR
14,303.3533613915966,311.0,GAS
15,258.84672859691295,311.0,GAS
16,237.91224782203136,234.2042911488301,BOR
17,276.91183679307363,268.31364134938326,BOR
18,286.3435832208694,289.69446954666665,GAS
19,151.05586079525483,184.53259798490294,GAS
20,191.96479250308235,174.47969885074116,BOR
21,178.68225820820828,192.6070521503016,GAS
22,132.47075027474094,120.22694155250272,BOR
23,230.62873859666627,205.5572980252814,BOR
24,285.38925988975234,282.9494855415589,BOR
25,295.67916586666666,299.0973607822222,GAS
