Minisector,VET,OCO,Fastest
0,288.37254901960785,285.2504916078431,VET
1,128.12684871400293,122.77346745897168,VET
2,165.5477954144621,162.46428434285716,VET
3,220.77380816114055,211.31068634531522,VET
4,163.70617283950617,159.4989729681445,VET
5,244.64902077848964,245.0494133260743,OCO
6,212.45486542443064,203.25240092753623,VET
7,140.79484580939737,134.4975149343952,VET
8,237.0340476190476,235.11124874666666,VET
9,277.1181037969187,279.6578337961086,OCO
10,284.52964851586836,284.081863027451,VET
11,149.67367038573144,142.8180731763056,VET
12,222.4889891098671,224.7536462495675,OCO
13,271.27058823529416,273.72420148710165,OCO
14,269.2444472888889,269.30234608253966,OCO
15,104.56925510879745,99.38906888443236,VET
16,226.96031613968253,222.26705629937499,VET
17,276.33723986666666,277.5917315,OCO
18,297.7825519333333,300.7757814,OCO
19,308.53538909847583,313.8313493638095,OCO
20,312.45818792973546,320.89467028953237,OCO
21,291.8118486473895,286.4617627607843,VET
22,156.89118974668855,148.5950703369411,VET
23,238.6202955828024,237.51510058345866,VET
24,280.54004557037035,280.5634807215686,OCO
